Process Start Time: 2021/11/8 0:10:43
Wafer ID: LA-5
Lot ID:  N1R21A260016;N1R21A210052
Slot ID: 5
PM SN: PM1
Recipe Name: D1EJD011A02
Wafer Counter: 10050
SRF Hour: 2638:43:44
BRF Hour: 2499:41:32
TotalTime,Step_Name,Step_ID,StepTime,ProcessPressure,HePressure,HeFlow,VATPosition,ChamberPressure,ForlinePressure,SRFForwardpower,SRFRefl,BRFForwardpower,BRFRefl,DCBias,TopC1,TopC2,BottomC1,BottomC2,Ar,O2,N2,Cl2,BCl3,CF4,HBr,Spare8,ChillerTemp,MiddleTemp1,MiddleTemp2,MiddleTemp3,MiddleTemp4,TopTemp,BottomTemp,InnerPipeTemp,
0.457,0,0,0,0.048828125,0,0.048828125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.435546875,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9946975708008,60.0243797302246,59.967529296875,59.982536315918,59.9744720458984,60.0773773193359,99.9791107177734,
0.661,0,0,0,0.048828125,0,0.048828125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,60.0243797302246,59.967529296875,59.982536315918,59.9744720458984,60.0773773193359,99.9791107177734,
0.865,0,0,0,0.048828125,0,0.048828125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,59.9100608825684,59.9642753601074,59.982536315918,59.9744720458984,60.0773773193359,99.9791107177734,
1.07,0,0,0,0.048828125,0,0.048828125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,59.9100608825684,59.9642753601074,59.9831809997559,59.9749603271484,60.0773773193359,99.9791107177734,
1.274,0,0,0,0.048828125,0,0.048828125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,59.9100608825684,59.9642753601074,59.9831809997559,59.9749603271484,60.0773773193359,99.9791107177734,
1.479,0,0,0,0.048828125,0,0.048828125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,59.9100608825684,59.9642753601074,59.9831809997559,59.9749603271484,60.0773773193359,100.037178039551,
1.683,0,0,0,0.048828125,0,4.5166015625,1000,0.01953125,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,59.9100608825684,59.9642753601074,59.9831809997559,59.9749603271484,60.0773773193359,100.037178039551,
1.887,0,0,0,0.048828125,0,1.611328125,1000,0.01953125,0.002685546875,0.716552734375,0,1.435546875,0.03662109375,2,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,59.9100608825684,59.9642753601074,59.9831809997559,59.9749603271484,60.0773773193359,100.037178039551,
2.091,0,0,0,0.048828125,0,0.9033203125,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9941139221191,59.9100608825684,59.9642753601074,59.9831809997559,59.9749603271484,60.1338844299316,100.037178039551,
2.295,0,0,0,0.048828125,0,0.6103515625,1000,0.02197265625,0.002685546875,0.716552734375,0,1.07666015625,0.03662109375,1,350,200,350,200,0,0,0,0,0,0,0,0,-0.1,59.9937896728516,59.9100608825684,59.9642753601074,59.9831809997559,59.9749603271484,60.1338844299316,100.037178039551,
